date,anomaly_score
2020-02-10,262166.28
1989-02-26,256207.12
1990-02-27,253400.14
1997-12-17,252778.02
1989-02-25,249063.89
1993-01-11,247444.83
1976-12-02,234131.9
1990-02-28,231811.12
1997-12-16,230868.25
1989-12-16,229609.9
1973-02-13,223972.02
1989-12-17,223661.17
1993-01-12,221945.34
1976-12-03,220918.64
2018-02-27,220773.84
2018-02-28,220279.84
1982-12-16,219740.88
1973-02-14,219565.88
2013-12-24,219156.02
1982-11-07,218118.97
1964-01-12,217062.78
1951-02-04,217044.94
1999-02-05,216682.52
1995-02-07,213418.88
1994-12-28,212738.48
1984-01-01,212451.52
1982-12-17,211443.98
2018-03-01,211152.06
1962-02-13,210234.44
1976-01-20,209447.4
2009-01-24,209052.36
2018-02-26,208980.14
1990-02-26,208688.9
1996-01-06,208461.14
2000-01-18,208292.89
1955-01-12,207758.64
1984-01-02,207670.4
1971-01-10,207494.69
1989-02-27,207404.1
2009-01-23,207397.14
1959-12-07,207243.36
2020-02-11,206759.28
1951-02-05,206745.44
1973-12-19,206740.61
2013-03-22,206337.78
1989-12-15,206260.61
2020-02-09,205970.14
1978-02-25,204987.61
2008-02-14,204455.81
1964-01-13,204216.84
1957-12-11,204093.25
1969-01-04,203958.14
1993-01-10,203871.62
1990-12-27,203767.1
2015-01-31,203528.61
1979-02-10,203469.78
1957-12-10,203347.38
1972-03-11,203180.78
1959-12-02,203123.67
1970-02-06,202855.58
1982-12-19,202628.77
2013-03-05,202168.12
2015-01-30,201593.45
1982-01-14,201381.14
2018-02-24,201375.3
1972-01-31,201225.31
1990-12-26,201188.67
1969-03-16,201178.52
2015-12-30,200999.42
1989-12-24,200968.39
2013-03-04,200692.08
1959-12-06,200245.81
1995-02-09,200075.05
1956-02-02,200024.84
1952-03-28,199914.31
1993-12-20,199741.38
1995-12-31,199487.61
2020-01-08,199209.73
1962-12-16,198987.55
2020-02-16,198944.88
1953-12-15,198944.31
1996-01-01,198922.75
1999-12-26,198581.4
1995-02-08,198511.11
1969-01-05,198447.02
1971-01-21,198049.8
2007-03-19,198018.5
1989-02-12,197918.77
1989-12-25,197628.81
1957-12-15,197559.17
1962-02-16,197517.25
2018-02-23,197297.0
1969-03-15,197155.7
1982-12-20,196581.28
1987-01-12,196545.4
1984-03-12,196327.4
2021-04-05,196199.98
1975-01-14,196185.1
2008-01-04,196144.14
1978-12-07,196061.64
