date,anomaly_score
1989-02-25,457481.62
2020-02-09,453392.78
1989-02-24,445660.7
1990-02-26,443138.56
1997-12-16,442762.0
1990-02-27,441230.97
1997-12-15,437840.97
1973-02-13,436809.84
1962-02-14,436614.1
2020-02-08,436148.53
1993-01-10,432313.56
1989-02-26,427693.62
1993-01-11,425972.97
1982-12-17,425743.75
2020-12-25,425312.34
1973-02-12,424788.34
1989-12-15,420787.34
1993-01-09,418338.5
2020-12-26,417408.62
1957-12-09,416840.25
1990-02-25,416743.22
2020-02-15,416470.56
1976-12-01,415190.88
1982-12-18,413528.84
2018-02-28,411659.56
1982-12-16,411182.66
2010-12-16,410538.03
1976-12-02,410528.4
1957-12-10,409745.62
1957-12-13,408913.16
2020-02-10,408558.16
1990-02-28,408453.78
1989-12-16,408419.56
1965-01-18,408113.1
1951-02-02,407523.97
1989-12-24,407078.47
2018-02-27,406411.34
1973-02-11,406206.3
2020-02-16,406072.5
1965-01-19,405197.8
1962-02-13,405010.4
1989-12-25,404386.28
1984-01-01,404100.03
2015-12-06,403576.25
2015-01-29,401618.03
1999-02-03,401569.75
1990-12-26,401423.38
1957-12-14,401130.75
2018-02-26,399900.7
2010-12-15,399253.22
1983-12-31,397787.1
1995-02-07,397732.62
1962-02-15,397408.6
1976-12-03,396947.9
1990-12-27,396361.28
1991-12-30,395378.84
2010-01-26,395018.4
1989-02-23,394265.62
1989-12-14,394254.6
1972-03-10,392868.8
1951-02-03,391668.03
1958-01-17,391029.62
1982-12-15,391026.5
1982-12-19,390227.97
1958-01-11,390140.97
1970-02-05,389939.25
1973-02-14,389932.72
2018-01-14,389003.28
2015-12-05,387929.16
1989-12-17,387865.56
1957-01-18,387842.97
1959-12-07,387524.03
2000-01-16,387067.88
1971-01-08,386961.75
1983-12-30,386875.8
1962-02-11,386807.38
1951-02-04,386730.03
1995-02-06,386711.34
2018-02-25,386271.78
1952-01-11,386022.28
2015-01-28,385954.97
1960-02-08,385840.7
2008-01-03,385672.72
1999-12-26,385558.62
1962-02-12,385454.4
2015-01-30,385279.03
1971-01-09,384792.66
1982-11-06,384763.03
1953-11-27,384750.7
1958-01-05,384645.9
1964-01-11,384085.03
1987-01-24,383564.56
1999-12-25,383479.88
1981-01-12,383193.9
1982-11-07,382923.34
2009-01-23,382729.1
1964-01-12,382358.28
2018-01-13,381742.84
1993-01-02,381741.34
1993-01-12,381407.0
